,aktienfonds bezeichnet einsatz derivaten genauso steigende kurse setzen long-position fallende kurse spekulieren short-position grenze long-position entspricht investitionsgrad short-position woraus bezeichnung
glasgow stock exchange,glasgow stock exchange ehemaliger börsenhandelsplatz schottischen stadt glasgow glasgower börse zwischenzeitlich london stock exchange übernommen
global depository receipt,global depository receipt gdr  international depository receipt idr globale form hinterlegungsscheins englisch depository receipt somit zertifikat eigentum aktie verbrieft
konsumausgaben des staates,konsumausgaben staates staatsverbrauch genannt aggregat bruttoinlandsprodukts verwendungsrechnung volkswirtschaftlichen gesamtrechnung einzelnen esvg definiert
handelsspanne,handelsspanne englisch margin abgeleitete preisgröße wirtschaft insbesondere handelsunternehmen verwendet gehandelte dienstleistungen handelsspanne differenz listenverkaufspreis einstandspreis verhältnis listenverkaufspreis üblicherweise angegeben prozent
bruttoregionalprodukt,bruttoinlandsprodukt schweiz bruttoinlandprodukt abkürzung bip englisch domestic product gdp gesamtwert güter d h dienstleistungen jahres innerhalb landesgrenzen volkswirtschaft endprodukte hergestellt
wachstumswert,wachstumswert englisch growth stock versteht aktiengesellschaft langen zeitraum umständen jahrzehnte hinweg stetiges weitgehend konjunkturunabhängiges hohes umsatz- gewinn-wachstum aufweist voraussetzung hierfür
hm treasury,hm treasury treasury her/his majesty treasury deutsch ihrer/seiner majestät schatzamt britische finanz- wirtschaftsministerium leiter schatzkanzler
harambee,harambee bedeutet swahili lasst strick ziehen kenias präsident jomo kenyatta motto wichtige gesellschaftliche selbsthilfebewegung leben gerufen
stille reserven,stille reserven stille rücklagen bewertungsreserven rechnungswesen bilanz ersichtlichen bestandteile eigenkapitals sowohl unterbewertung vermögen überbewertung schulden entstehen
teilzahlungsgeschäft,teilzahlungsgeschäft finanzkauf warenhandel vereinbarung unternehmer verbraucher bezahlung fälligen kaufpreises ausnahmsweise sofort summe teilzahlung mindestens zahlungsraten erbringen gesetz spricht raten teilzahlungen
werthaltigkeitstest,werthaltigkeitstest englisch impairment test test bewertung anlagevermögens bilanzierungsvorschriften us-gaap ifrs verlangen periodische beurteilung möglichen wertbeeinträchtigung
rohstoffhandel,rohstoffhandel wirtschaftszweige zusammengefasst handel vertrieb primär- sekundärrohstoffen befassen rohstoffhandel wesentlicher bestandteil rohstoffwirtschaft gewinnung verarbeitung rohstoffe befasst
investition,investition lateinisch investire einkleiden versteht wirtschaft allgemein einsatz kapital bestimmten verwendungszweck investor
aktienmarkt,aktienmarkt englisch stock market marktsegment kapitalmarkts börslichen außerbörslichen handel aktien umfasst komplementärbegriff rentenmarkt
hochstift,ausdrücke hochstift metropolitanbistum erzstift zuge territorialen emanzipation fürstbistum fürsterzbistum bzw fürststift fürsterzstift bezeichnen geistliches territorium heiligen römischen reich staatliche souveränität
hotelling-regel,hotelling-regel bedeutendes theorem mikroökonomie harold hotelling artikel the economics of exhaustible resources erstmals vorgestellt
iboxx,iboxx name indexfamilie rentenindizes indizes entwicklung rentenmärkte regionen europa usa asien repräsentativ dokumentieren
international financial reporting standard,international financial reporting standard leases ifrs rechnungslegungsvorschrift iasb ifrs ersetzt ias interpretationen ifric sic sic
international financial reporting standard,international financial reporting standard ifrs rechnungslegungsstandard international accounting standards board iasb bilanzierung anteilsbasierter vergütungen regelt anteilsbasierten vergütungen zählen insbesondere aktienoptionen
schuldschein,schuldschein schuldner ausgestellte urkunde zwecks beweiserleichterung gläubiger bestehen verbindlichkeit bestätigt
itraxx,itraxx name familie credit-default-indizes regionen europa asien abdecken indizes entwicklung entsprechenden kreditderivatemärkte repräsentativ dokumentieren
idschara,idschara arabisch إجارة dmg iǧāra häufig ijarah ijara islamischen finanzwesen islamkonformes finanzierungsinstrument konventionellen leasing ähnlich
ikoyi,ikoyi insel lagune lagos gebiet nigerianischen stadt lagos ikoyi kanal künstlich lagos island westen abgetrennt local government area lagos island
einkommen,einkommen bezeichnet natürlichen juristischen person bestimmten zeitraum geld sache zufließenden leistungen umgangssprachlich spricht natürlichen personen verdienst juristischen personen hingegen gewinn
indexfonds,indexfonds investmentfonds bestimmten börsenindex z b dax dow jones industrial average möglichst exakt nachbilden
individual savings account,individual savings account isa steuerprivilegierte anlageform vereinigten königreich steuerlich ansässige
ablass,ablass indulgenz lateinisch indulgentia veraltet römische gnade begriff römisch-katholischen theologie bezeichnet kirche geregelten gnadenakt kirchlicher lehre zeitliche sündenstrafen erlassen sünden
inflation,inflation lat inflatio aufblähen anschwellen bezeichnet volkswirtschaftslehre allgemeine anhaltende erhöhung preisniveaus gütern dienstleistungen teuerung gleichbedeutend minderung kaufkraft geldes zentralbanken gehört
information ratio,information ratio kennzahl bewertung investmentfonds beschreibt überschussrendite verhältnis nachbildungsfehler englisch tracking error errechnet division fondsrendite ausgedrückt alpha fondsrisiko ausgedrückt 
insolvenz,insolvenz lateinisch insolventia solvere zahlen bezeichnet situation schuldners zahlungsverpflichtungen gläubiger erfüllen insolvenz gekennzeichnet akute zahlungsunfähigkeit illiquidität mangelnde liquidität drohende zahlungsunfähigkeit
institutioneller anleger,institutioneller anleger institutioneller investor anleger kapitalanlagen und/oder häufig vorkommen kaufmännischer weise eingerichteter geschäftsbetrieb erforderlich gegensatz privatanleger
versicherung kollektiv,versicherung veraltet assekuranz grundprinzip kollektiven risikoübernahme versicherungsprinzip äquivalenzprinzip bezeichnet zahlen geldbetrag (= versicherungsbeitrag kapitalsammelstelle versicherer eintreten entsprechenden schadens versicherungsfall kapitalsammelstelle
zins,zins lateinisch census abschätzung wirtschaft entgelt schuldner gläubiger gegenleistung vorübergehend überlassenes kapital zahlt
zinsparitätentheorie,zinsparitätentheorie john maynard keynes zurückgehendes verbreitetes volkswirtschaftliches modell liefert erstens erklärungsansatz anlegerverhalten anleger investieren höchste rendite erwirtschaftet
interner zinsfuß,interne-zinsfuß-methode interne-zinssatz-methode methode internen zinsfußes methode internen zinssatzes  izf -methode bzw izm izs-methode englisch irr internal rate of return
fisher-effekt,fisher-effekt benannt ökonomen irving fisher handelt beziehung inflationsrate nominalem realem zinssatz besagt steigerungen inflationsrate proportionalen steigerungen nominalzinses niederschlagen mathematischer form
international payment instruction,ipi international payment instruction einzahlungsschein europaweit einheitlicher zahlungs-beleg entwickelt internationalen organisation normung iso europäischen komitee bankstandards ecbs).das erscheinungsbild teilnehmenden länder
weltwirtschaft,weltwirtschaft gesamtheit wirtschaftsbeziehungen welt verstanden staatlichen volkswirtschaften umfasst zugerechnete nominale weltsozialprodukt betrug billionen us-dollar
investitionsschutzabkommen,investitionsschutzabkommen englisch international investment treaties international investment agreements völkerrechtliche verträge staaten bieten direktinvestitionen ausländischer natürlicher juristischer personen z
lagerumschlagshäufigkeit,lagerumschlagshäufigkeit betrieblichen materialwirtschaft betriebswirtschaftliche kennzahl angibt durchschnittliche lagerbestand produktes geschäftsjahres komplett lager entnommen ersetzt
investition,investition lateinisch investire einkleiden versteht wirtschaft allgemein einsatz kapital bestimmten verwendungszweck investor
investmentfonds,investmentfonds fonds geld- kapitalanlage investitionen investmentfonds profitiert einzelne anleger vorteilen handelns gruppe
anleger finanzmarkt,anleger kapitalanleger kapitalgeber investor wirtschaftssubjekt marktteilnehmer finanzmarkt finanzprodukt zwecke langfristigen vermögensmehrung nachfragt
investor-state dispute settlement,englischen begriff bezeichnete investor-state dispute settlement isds deutsch investor-staat-streitbeilegung instrument internationalen rechts isds erlaubt ausländischen investor staat investiert streitbeilegungsverfahren anzustoßen
investor relations,investor relations abkürzung ir deutsch investorendialog finanzkommunikation handlungsfeld unternehmenskommunikation bezeichnet aktiengesellschaft kapitalbasierten gesellschaften kontaktpflege aktionären bzw
islamisches bankwesen,islamische bankwesen englisch islamic banking arabisch مصرفية إسلامية dmg maṣrifīya islāmīya teilbereich islamischen finanzwesens betreibt islamkonforme bankgeschäfte
emittent finanzmarkt,emittent wirtschaftssubjekt zwecke kapitalbeschaffung wertpapiere ähnliche urkunden geld- kapitalmärkten ausgibt hilfe bankenkonsortiums ausgeben lässt notenbanken ausgabe geld gesetzlichem zahlungsmittel gelegentlich
ivar kreuger,ivar kreuger ˌiːvar ˈkryːgər märz kalmar schweden
journal of banking and finance,journal of banking and finance abgekürzt häufig jbf monatlich erscheinende  wissenschaftliche zeitschrift volkswirtschaftlichen themen schwerpunkt liegt finanz- bank-bezogenen themen
journal of financial economics,journal of financial economics jfe mehrmals jährlich erscheinende wissenschaftliche zeitschrift themen finanzwirtschaft
journal of financial and quantitative analysis,journal of financial and quantitative analysis jfqa zweimonatlich erscheinende wissenschaftliche fachzeitschrift volkswirtschaftlichen themen schwerpunkt liegt bereichen finanzwirtschaft investitionen kapital- wertpapiermärkte
karnit flug,karnit flug hebräisch קרנית פלוג januar warschau israelische ökonomin gouverneurin israelischen zentralbank
säumniszuschlag,säumniszuschlag begriff deutschen verwaltungsrecht zusätzliche abgabe fall verspäteten zahlung gebühr beitrags steuer erhoben
miete,miete steht  abschluss und/oder durchführung mietvertrages siehe mietvertrag deutschland mietvertrag österreich mietvertrag schweiz immobiliarmiete entgeltliche überlassung räumen grundstücken geschäftsraummiete
sale-lease-back,rückmietverkauf sale-lease-back sale-and-rent-back synonyme bezeichnungen sonderform leasings organisation immobilie fahrnis immaterielle güter marken patente leasinggesellschaft verkauft nutzung gleichzeitig zurückleast rückmietverkauf
erbbaurecht,erbbaurecht lat superficies meist zahlung regelmäßigen sogenannten erbbauzinses grundstück bauwerk errichten unterhalten abs
am wenigsten entwickelte länder,wenigsten entwickelte länder wel englisch least developed countries ldc vereinten nationen definierter sozialökonomischer status gruppe armen ländern überall welt besitzt
haftung recht,haftung unterschiedlich verwendeter rechtsbegriff leistungspflicht schuldners gläubiger einstehenmüssen rechtssubjekts entstandenen schaden engeren sinn unterworfensein vermögens schuldners zugriff gläubigers umschreibt
rechtsrisiko,rechtrisiko englisch legal risk besteht gefahr rechtssubjekt abschluss vertrages schaden wirtschaftlicher verlust entsteht fehlerhafte anwendung gesetzen nichtbeachtung falschanwendung übertretung herbeigeführt
akkreditiv,akkreditiv englisch letter of credit abgekürzt l/c bankers letter of credit außenhandelsfinanzierung geschäftsbesorgungsvertrag verpflichtung kreditinstituts weisungen auftraggebers vorlage bestimmter dokumente
leverage-effekt,hebeleffekt leverage-effekt ˈliːvəɹɪdʒ englisch leverage hebelwirkung genannt beschreibt allgemein situationen änderungen variablen ausschlägen resultat führen speziell finanzwesen begriff insbesondere bereichen
like for like,like for like lfl englischen stammende betriebswirtschaftliche kennzahl beschreibt neuakquisen bereichsverkäufe bereinigte wachstum betrieblichen bereiches dient ermittlung organischen wachstums
kreditlinie,kreditlinie kreditrahmen kreditfazilität bankwesen betragsmäßige obergrenze bezeichnet kreditnehmer bestimmte kreditart anspruch nehmen
leistungsübertragungsbilanz,leistungsübertragungsbilanz englisch link budget nachrichtentechnik maß qualität übertragungskanals bilanz einheit bel positiven negativen werten angegeben einfachen modell addition sendeleistung empfängerempfindlichkeit
liquiditätsrisiko,liquiditätsrisiko manchmal refinanzierungsrisiko risiko bezeichnet begleichen fälliger zahlungen benötigte zahlungsmittel erhöhten refinanzierungskosten beschaffen liquiditätsrisiko finanzrisiko
liste der international financial reporting standards,liste international financial reporting standards enthält international financial reporting standards ifrs sinne zählen gemäß ias  international financial reporting standards
liste der länder nach auslandsverschuldung,liste länder auslandsverschuldung überblick länder höchsten auslandsverschuldung
liste von finanzaufsichtsbehörden,liste finanzaufsichtsbehörden beinhaltet staatliche organisationen finanzmarktaufsicht befassen alphabetisch sortiert albanien albanische finanzaufsichtsbehörde alb
beleihungsauslauf,beleihungsauslauf begriff kreditgeschäft kreditinstitute nämlich quotient darlehensbetrag beleihungswert kreditsicherheit beleihungsrisiko bestimmten kredits darstellen
kreditvertrag,kreditvertrag darlehensvertrag englisch loan agreement insbesondere kreditwesen vertrag kreditinstitut kreditnehmer gewährung bestimmten kredits
covenants,anglizismus covenants lateinisch conventio vertrag vereinbarung handelt deutschen sprachgebrauch bestimmte klauseln neben-)abreden kreditverträgen anleihebedingungen
sperrfrist aktie,begriff sperrfrist lock-up-periode bezeichnet bankenwesen zeitraum aktionäre zumeist institutionelle anleger verpflichten börsengang aktien verkaufen deutschland sperrfrist monate regelfall
londoner schuldenabkommen,londoner schuldenabkommen abkommen deutsche auslandsschulden langwierigen verhandlungen februar london unterzeichnet gesetz
lookback-option,lookback-option exotische option basispreis ausübung festgelegt basispreis ergibt sicht optionskäufers beste preis basiswert optionslaufzeit erreicht
low-budget-film,low-budget-film loʊ ˌbʌdʒɪtfɪlm deutsch film geringem budget filmproduktion geringes budget verfügt meist außerhalb etablierten studiosystems produziert low-budget-film klassischen hollywood meist
finanzwirtschaft,finanzwirtschaft umfasst betriebswirtschaftslehre oberbegriff finanzierung kapitalbeschaffung investition kapitalverwendung zahlungsverkehr risikomanagement rahmen unternehmensfinanzierung pendant produktionswirtschaft
kapitalmarktanomalie,kapitalmarktanomalien kursanomalien genannt bezeichnen zustand beobachtungen kapitalmarkt bisherigen kapitalmarkttheorien übereinstimmen insbesondere widersprüchen capm stehen 70er untersuchungen unternommen auftretenden abweichungen bestehenden
exposure finanzwirtschaft,exposure englisch engagement kreditinanspruchnahme risiko bankwesen anglizismus offene risikopositionen finanzinstrumenten basiswerten innerhalb geschäftsvolumens
marktportfolio,marktportfolio besteht gewichteten summe anlage marktes bestmöglich diversifizierte portfolio portfoliotheorie bzw
zeitzonenarbitrage,zeitzonenarbitrage fachausdruck wertpapierhandel bezeichnet form market timings kursfeststellungen börsen unterschiedlichen zeitzonen ausgenutzt ausdruck zusammenhang late trading genannt
bullen- und bärenmarkt,begriff bullenmarkt hausse os französisch anstieg steigerung steht börse anhaltend steigende kurse bärenmarkt baisse bɛs französisch rückgang abnahme hingegen anhaltend
marousi,marousi griechisch μαρούσι n sg
fälligkeit,rechtsbegriff fälligkeit versteht eintritt leistungstermins verbundene sofortige leistungspflicht schuldners
media for equity,media for equity englischer begriff deutschland innerhalb medienindustrie risikokapitalbranche investment-modell verwendet media for equity bezeichnet beteiligung medienunternehmen unternehmen start-ups verwendung
konsum-investitions-problem,konsum-investitions-problem standardproblem modernen finanzökonomik stellt frage risikoscheuer konsument lebenszyklus verfügbares finanz- humankapital intertemporal anlegen zeitpunkt konsumieren d h sparquote portfolio
mezzanine-kapital,mezzanine-kapital mezzanine-finanzierungen italienisch mezzo halb beschreibt sammelbegriff finanzierungsarten ihren rechtlichen wirtschaftlichen ausgestaltungen mischform eigen- fremdkapital darstellen klassischen variante unternehmen wirtschaftliches
ministerium für wirtschaft und finanzen italien,ministerium wirtschaft finanzen ital ministero dell'economia delle finanze abgekürzt mef ministerien italienischen regierung
bundesministerium für finanzen,bundesministerium finanzen bmf finanzministerium oberste behörde österreichischen finanzverwaltung zuständig bundesfinanzen finanzwesen teile wirtschaftspolitik
finanzministerium kroatien,finanzministerium republik kroatien kroatisch ministarstvo financija republike hrvatske mfin ministerium kroatischen regierung
finansministeriet,finansministeriet finanzministerium königreiches dänemark sitz slotsplads hauptstadt kopenhagen
ministerium für finanzen israel,israelische ministerium finanzen hebräisch משרד האוצר misrad haotzar zuständig planung umsetzung israelischen wirtschafts- finanzpolitik
finanzministerium japan,japanische finanzministerium jap 財務省 zaimu-shō engl
finanzministerium der republik litauen,finanzministerium republik litauen litauisch lietuvos respublikos finansų ministerija ministerien regierung litauens sitz hauptstadt vilnius
finanzministerium polen,finanzministerium polnisch ministerstwo finansów abgekürzt mf ministerien republik polen zuständig finanzpolitik landes
finansdepartementet,schwedische finanzministerium schwedisch finansdepartementet ministerium schwedischen zentralregierung anderem zuständig wirtschaftspolitik zentralregierung staatshaushalt finanzmarktpolitik steuern bankenwesen regulierung lizenzierung schwedischen glücksspielwesens ökonomischen
finanzministerium china,finanzministerium volksrepublik china chinesisch 中华人民共和国财政部 pinyin zhōnghuá rénmín gònghéguó cáizhèngbù mof englisch ministry of finance ministerium chinesischen staatsrats ministerium begründet
ministerium für staatsvermögen,ministerium staatsvermögen polnisch ministerstwo skarbu państwa deutsch wörtlich ministerium schatz staats ministerien republik polens sitz ministeriums befand landeshauptstadt warschau
mobile payment,mobile payment m-payment elektronische zahlungsform verwendung mobilen endgeräten mobile elektronische techniken initiierung autorisierung realisierung zahlung einsetzt mittels mobiltelefonen tablet-computern smartwatches
modellrisiko,modellrisiko risiko  modell falsch konzipiert ungeeignet gewählte anwendung modell unsachgemäß angewendet modell falsche eingangsdaten verwendet modell aktuell inkonsistent istder
modigliani-miller-theorem,modigliani-miller-theoreme franco modigliani merton miller ihren erschienenen aufsätzen the cost of capital corporation finance and the theory of investment dividend
monetäre finanzinstitute,monetäre finanzinstitute engl monetary financial institutions mfi bankwesen übliche bezeichnung kreditinstituten publikum einlagen entgegennehmen form krediten rechnung anbieten
effektiver jahreszins,effektive jahreszins genauer effektive jahreszinssatz beziffert jährlichen nominale kredithöhe bezogenen kosten krediten prozent auszahlung angegeben
money management,money management bezeichnet wertsicherungsstrategie abzielt risiko wertpapier-portfolios größenfestlegung einzelnen handelspositionen steuern börseninvestor verwaltet wertpapierdepot umfang mio
moralisches risiko,moralisches risiko moralische versuchung moralisches wagnis rationalitätsfalle englisch moral hazard bedeutet fehlanreize personen unternehmen aufgrund ökonomischer fehlanreize verantwortungslos leichtsinnig verhalten
zahlungsbedingung,zahlungsbedingungen zahlungskonditionen englisch terms of payment allgemeine geschäftsbedingungen zahlung geldschulden zahlungspflichtigen geschäften regeln
substanzwert,substanzwert englisch asset value betriebswirtschaftslehre wert überwiegend unternehmensbewertung zugrunde gelegt
nettozinseinkommen,nettozinseinkommen nze nettozinsertrag nettozinsergebnis differenz erhaltenen gezahlten zinsen differenz gilt wichtige kennzahl erfolgreich bank funktion finanzintermediation ausführt
kapitalwert,kapitalwert englisch net present value npv nettogegenwartswert seltener ngw nettobarwert betriebswirtschaftliche kennzahl dynamischen investitionsrechnung abzinsung beginn investition zahlungen vergleichbar beliebigen
the treasury neuseeland,the treasury finanzministerium neuseelands berät regierung fragen wirtschafts- finanz- ordnungspolitik landes
nihombashi,nihombashi jap 日本橋 alternative romanisierung nihonbashi japan-brücke brücke bezirk chūō japanischen präfektur tokio benannter stadtteil gleichen bezirk
stückaktie,stückaktie nicht-nennwertaktie form aktie quasi nennwertlos gegensatz nennbetragsaktien grundkapital aktiengesellschaft aktien unterschiedlichem wert einteilbar aktien gleichen anteil grundkapital widerspiegeln
noise trading,noise trading deutsch handeln rauschen rauschhandel beschreibt verhaltensökonomik behavioral finance irrationales verhalten finanzmarktakteuren rauschhändler versuchen gegensatz smart money tradern aktuell
notleidender kredit,notleidender kredit problemkredit toxischer kredit umgangssprachlich fauler kredit englisch non-performing loan abgekürzt npl kredit schuldner schuldendienst rückstand gerät schuldnerverzug befindet
nxt kryptowährung,nxt eingeführte kryptowährung dezentralen community weiterentwickelt proof-of-stake-ansatz pos aufbaut nxt gegensatz bitcoin sicherheitskonzept eigenem programmiercode basiert kryptowährung generation bezeichnet funktion
odious debts,odious debts englisch verabscheuungswürdige schulden diktatorenschulden alexander nahum sack russischer minister russischen revolution professor rechts paris 1920er entwickelter völkerrechtlicher begriff
offertorium,offertorium lat offerre entgegentragen entgegenbringen darreichen reichen darbieten liturgischer gesang gabenbereitung heiligen messe
operatives leasing,operative leasing englisch operate-leasing operatingleasing genannt form leasing miete weitgehend ähnlich fällen mietuntypische dienstleistungen einschließt wesentliche merkmale  feste grundmietzeit
umsatzrendite,rentabilität englisch profitability oberbegriff mehrere betriebswirtschaftliche kennzahlen beurteilung wirtschaftlichen erfolgs unternehmens dienen
außerbörslicher handel,außerbörsliche handel direkthandel telefonhandel otc-handel bezeichnet finanzielle transaktionen marktteilnehmern börse abgewickelt begriff telefonhandel gebrauch handel überwiegend elektronischem wege abläuft
überziehung,überziehung entsteht girokonten verfügungen barauszahlung überweisung lastschrift kontoguthaben vorhandene kontokorrentkredite dispositionskredite gedeckt
tages- und termingeldhandel,tages- termingeldhandel geldhandel genannt wesentliches marktsegment geldmarkts wobei unbesicherte kredite bzw geldanlagen laufzeit gehandelt
kurs-buchwert-verhältnis,kurs-buchwert-verhältnis kbv engl p/b ratio p/bv substanzorientierte kennzahl beurteilung börsenbewertung aktiengesellschaft
kurs-gewinn-wachstums-verhältnis,kurs-gewinn-wachstums-verhältnis kgv-wachstums-verhältnis engl price-earning to growth-ratio dient kennzahl bewertung aktien wachstumswerten
paradeplatz zürich,paradeplatz platz bahnhofstrasse quartier city zürich liegt teuersten lagen stadt synonym banken schweizer wohlstand
genussrecht,genussrechte englisch participation rights participation certificates non-voting equity securities gehören emittierenden unternehmen mezzanine-kapital finanzinstrumente schuldrechtlich begründete finanzierungsmittel mitglied­schaftstypischen vermögensrechten ausgestattet
avenida paulista,avenida paulista wichtigsten straßen stadt são paulo brasilien knapp kilometer liegt langgestreckten hügelzug quartieren  bela vista jardim paulista südwestlich
pax-bank,pax-bank eg hauptsitz köln bank kirche caritas genossenschaftlich organisierte katholische universalbank mitglieder setzen einrichtungen katholischen kirche privatpersonen kirchlichen bereich
kurzzeitkredit,kurzzeitkredit form kredits angelsächsischen raum payday loan schweden begriff expresskredite deutschland kreditform hingegen verbreitet
payment-service-provider,payment-service-provider englisch zahlungsdienstleister bezeichnet unternehmen anbindung online-bezahlmethoden onlineshops kümmern beispiele bezahlmethoden z
peer-to-peer-kredit,peer-to-peer-kredite englisch peer-to-peer lending person-to-person lending kredite direkt privatpersonen privatpersonen engl peer to peer privatkredite vergeben finanzinstitut z
pension altersversorgung,pension ruhegehalt genannt person regelmäßig ausbezahltes einkommen meist altersversorgung dient
peterspfennig,peterspfennig denarius sancti petri geldsammlung ausdruck verbundenheit gläubigen papst gilt finanziellen zuwendung apostolische karitative arbeit papstes unterstützt
portfolio,portfolio lateinisch portare tragen folium blatt selten portefeuille sammelmappe bewerbungsunterlagen insbesondere kunstwerken übertragenen sinne versteht portfolio bestand artverwandten rechtsobjekten z
portfolioinvestition,gegensatz direktinvestitionen steht anleger auslands)-portfolioinvestitionen kontrollierende aspekt vordergrund vielmehr kapitalgeber interessiert profiten ausländischer unternehmen form renditen partizipieren
prekarie,prekarie häufig anzutreffende leihe land frühen mittelalter älteste praxis republikanischen rom zurückgeht wort abgeleitet spätlateinischen substantiv precarium (= lehensgut land
barwert,barwert englisch present value z t gegenwartswert genannt begriff finanzmathematik  barwert wert zukünftige zahlungen gegenwart besitzen
kurs-cash-flow-verhältnis,kurs-cash-flow-verhältnis kcv kcf begriff finanzanalyse liquiditätsorientierte aktienkennzahl verhältnis aktienkurs cash-flow aktie angibt
preiserkennung,prozess preiserkennung begriff finanzwissenschaft bzw finanzwesens beschreibt märkten informationen form preisen verarbeitet
kurs-gewinn-verhältnis,kurs-gewinn-verhältnis kgv englisch price-earnings-ratio per p/e ratio häufig gebrauchte ökonomische kennzahl beurteilung aktien hierbei kurs aktie verhältnis vergleichszeitraum bestimmten erwarteten
kurs-umsatz-verhältnis,kurs-umsatz-verhältnis kuv aktienkennzahl setzt aktuelle marktkapitalisierung unternehmens verhältnis jahres)-umsatz
private equity,private equity deutsch außerbörsliches eigenkapital privates beteiligungskapital form beteiligungskapitals kapitalgeber eingegangene beteiligung geregelten märkten börsen handelbar kapitalgeber private institutionelle anleger
privatplatzierung,privatplatzierung englisch private placement umgangssprachlich placing öffentliche private emission vermögensgegenständen
gewinnspanne,gewinnspanne englisch profit margin betriebswirtschaftliche kennzahl aussagen rentabilität unternehmen
put-call-ratio,put-call-ratio pcr gehört wertpapierhandel timingindikatoren bewertung wertpapieren verhältnis gehandelten kaufoptionen verkaufsoptionen
quality investing,quality investing anlagestrategie identifikation investitionsobjekten überdurchschnittlich hohen qualitätsmerkmalen basiert idee quality investing stammt welt anleihen immobilien ratings gutachten qualität preis
quasilineare nutzenfunktion,quasilineare nutzenfunktion spezielle mathematische funktion volkswirtschaftslehre insbesondere mikroökonomie benutzt präferenzen wirtschaftssubjekten haushalten individuen modellieren
handelssperrzeit,handelssperrzeit quiet period blackout period genannt angemessene zeitspanne veröffentlichung quartals- bzw jahresergebnissen börsennotiertes unternehmen investor relations eingeschränkt kapitalmarkt kommuniziert gleichzeitig
rentabilität,rentabilität englisch profitability oberbegriff mehrere betriebswirtschaftliche kennzahlen beurteilung wirtschaftlichen erfolgs unternehmens dienen
immobilienmakler,immobilienmakler selbstständiger gewerbetreibender gelegenheit kaufvertrag mietvertrag immobilien nachweist gelegenheit vermittelt somit makler eigentümer interessenten tätig tätigkeit vertrag zustande erhält provision
rebalancing finanztheorie,rebalancing deutsch neugewichtung umschichtung geldanlagen zwecks wiederherstellung erzielenden vermögensallokation anlageaufteilung findet buy-and-hold
referenzzinssatz,referenzzinssatz bankwesen zinssatz neutraler stelle institutsübergreifend täglich bestimmte währung zinslaufzeit ermittelt nichtbankensektor bezugs- orientierungsgröße anerkannt
regulativer kapitalismus,regulativer kapitalismus engl regulatory capitalism bezeichnet sozialwissenschaftliche these bedingungen globaler marktöffnung privatisierung 1990er regulierungsschub
mietkauf,mietkauf  mietvertrag mieter vermieter eingeräumt innerhalb bestimmten frist einseitige erklärung gemietete sache käuflich erwerben
mietvertrag deutschland,deutschland mietvertrag gegenseitiger schuldrechtlicher vertrag zeitweisen gebrauchsüberlassung entgelt partei vermieter verpflichtet partei mieter gebrauch gemieteten sache gewähren gegenleistung mieters zahlung
mietvertrag deutschland,deutschland mietvertrag gegenseitiger schuldrechtlicher vertrag zeitweisen gebrauchsüberlassung entgelt partei vermieter verpflichtet partei mieter gebrauch gemieteten sache gewähren gegenleistung mieters zahlung
mietvertrag deutschland,deutschland mietvertrag gegenseitiger schuldrechtlicher vertrag zeitweisen gebrauchsüberlassung entgelt partei vermieter verpflichtet partei mieter gebrauch gemieteten sache gewähren gegenleistung mieters zahlung
reputationsrisiko,reputationsrisiko unternehmen risiko negativer wirtschaftlicher auswirkungen schädigung reputation unternehmens entstehen könnten unternehmerischen risikos rahmen risikomanagements berücksichtigt
mindestreserve,mindestreserven bankwesen pflichtguthaben kreditinstitute kraft gesetzes zentralbank unterhalten täglich halten innerhalb mindestreserveperiode durchschnitt betragen eurosystem derzeit sogenannten mindestreservebasis
gesamtkapitalrentabilität,rentabilität englisch profitability oberbegriff mehrere betriebswirtschaftliche kennzahlen beurteilung wirtschaftlichen erfolgs unternehmens dienen
return on capital employed,return on capital employed roce kennzahl misst effizient profitabel unternehmen eingesetzten kapital umgeht stellt weiterentwicklung gesamtkapitalrentabilität dar
eigenkapitalrentabilität,rentabilität englisch profitability oberbegriff mehrere betriebswirtschaftliche kennzahlen beurteilung wirtschaftlichen erfolgs unternehmens dienen
return on investment,begriff return on investment roi kapitalrentabilität kapitalrendite kapitalverzinsung anlagenrentabilität anlagenrendite anlagenverzinsung betriebswirtschaftliche kennzahl messung rendite unternehmerischen tätigkeit gemessen gewinn verhältnis
aktienanleihe,aktienanleihe aktienandienungsanleihe englisch reverse convertible bond equity linked bond strukturiertes finanzprodukt wichtigstes ausstattungsmerkmal emittent laufzeit nominalbetrag zurückzuzahlen bestimmte anzahl vorher
kontokorrentkredit,kontokorrentkredit kreditinstitut girokonto befristet eingeräumte betragsmäßig begrenzte kredit überbrückung kurzfristigen liquiditätsengpässen ankündigungslose abrufbarkeit jederzeitige sofortige rückzahlbarkeit gekennzeichnet
risiko,risiko vermutlich italienischen risico verschiedenen wissenschaftlichen disziplinen unterschiedlich definiert definition gemeinsam beschreibung risikos zusammenhang gewissen ereignissen möglichen negativen auswirkung gefahr
raroc-steuerung,raroc-steuerung risk adjusted return on capital kennzeichnet wertschöpfungsorientiertes zielsystem kreditinstituten anwendung lässt wertschöpfung rein ökonomischer sicht verschiedenen ebenen gesamtbank einzelgeschäft
